,reviewText,predSumary,actualSummary
2220,"The rubber gasket and hard plastic case are good/solid.  The clear, plastic screen protector is poor.  ArmorShield screen protectors are much easier to install and do not leave bubbles, scratches, etc.",Good screen protector,Case=good Screen protector=bad
2221,Gift,Five Stars,Three Stars
2222,"Hi reader, I have used this product since the early 60s and nothing has changed.  It makes the electric razor glide across the skin
without dragging.  It seems to setup the beard better than any other way.  Now I am sure some company has copied it somehow, but
I like the clean smell and how it works, so I do not look for any other stuff.  Great Product!",Great product!,Close shave
2223,So great to have on hand!,Five Stars,Five Stars
2224,"I have tried everything from premium designer stuff to the value stuff.  When it comes down to it, it is really just shaving soap.  This stuff is no different.  Proraso is a very good shaving product.  It does not have the variety of scents that other soaps/creams have, but for the price, it is a good lowfrills product.  The soap is just hard enough to load my brush on it, but soft enough to get a really good load without too much effort.  It really whips up a great rich lather that is very slick.  It leaves my skin feeling hydrated and it works great with the Nivea aftershave balm.  The only gripe I have is the scent.  I do not particularly care for the soapy scent.  It is not bad, I just would not wear it as a cologne.  Of course, smell is completely subjective.  Like most all soaps, the scent does not linger for more than a few minutes anyway.

Overall, the soap performs great.  There is plenty of product in there to last more than a couple of months.  It performs as well as TOBS, but 25 less expensive.",Good soap,Great soap - but soapy scent
2225,Great movie,Five Stars,Five Stars
2226,Bought this for my 1  year old daughter to go with her new kitchen for Christmas and she absolutely loves them!  We have bought Melissa  Doug products in the past and they are very well made and I would highly recommend them to anyone. I think its wonderful that there is a company who makes toys from wood and that are made with such good quality.  It seems like you just do not see that as much anymore.  I know they will keep my daughter busy and happy in her new kitchen for many years to come!,Great Products,Melissa and Doug Wooden Food Products
2227,The lights came in good packing are very bright have not had much problems with them yet but have not used them much yet,Very bright but have not used them much yet,The lights came in good packing are very bright haven't had much problems with ...
2228,"This film has not aged well.  It was played during a college ""HipHop  conference"" and was very sparsely attended.  It is interesting in that  Harry Belafonte produced the soundtrack or something significantmost  numbers lean toward wastes of time rather than timelessness.  One also gets  a look at the staged life of an MC/performer/composer...the equipment  especially the ""techie"" stuff that the ""pro""s use is  comically primitive, exposed due to its questionable relevance to the plot.  The dance scenes, the feigned gang war scenes particularly, not only steal  the show but are in this case the only worthwhile tidbits in the whole  thing.  Sideplots and incidental urban characters abound, and not  surprisingly they only weigh down a very heavy plot.  The final scene caps  off the chintzy histrionics and romance in the most extravagant show of  obsolescence and fantasy possible.  This has definite entertainment value,  but it requires the viewer to ignore the movie and indulge in the guilty  pleasure of hoodlums spinning on their heads, landing squarely on their  suede tennis shoes in a pose that embodies the film.  Raw preskool breaks  'n' beats...SPIT on the rest.",It's a good movie,A commercial/glossy/shoddy vehicle for breakdancing.
2229,worked great,Five Stars,Five Stars
2230,very sharp. last a long time,Five Stars,Five Stars
2231,"My two original batteries were 3 years old and would only run my string trimmer for 45 minutes, so I got a new HPB18OPE. It says on the package ""lasts 50 longer"". I charged it for 24 hrs., put it in the string trimmer, and started trimming. It ran at full power for less than a minute, and after 2 minutes it was flatdead. The next day it was on it is way back to Amazon.  Judging from other reviews Black and Decker has a battery problem, but they keep on selling junk, which does not say much for BD.",Battery problem for both batteries,Piece of crap
2232,"It took a while to complete, but the program made writing our wills relatively easy and straightforward.  There are quite a few steps, so you need to set aside a few hours and gather all of your financial information, names/addresses of executors, etc.ahead of time.",A great program,Made the will-making process reasonably easy
2233,"I enjoy her books I'read book3and order book 45.
I plan to read the whole series.",I enjoy her books,ENJOY
2234,"Before using this product, every season I would deal with intense pain in my right arm from holding the string trimmer at an odd angle while trying to keep it straight for edging. Back pain the first three hours after every lawn edging and trimming  not so good. And the grass was butchered where the string dug in as I edged. I just finished my first use of the Edgit Pro, edging and trimming my 1 acre lawn, with fence all around, a circular drive, and sidewalks. This cut my time in half and the stress much more than that. I followed the instruction on using it holding it lefthanded that was part of the success. I have zero pain in my back or arms. And the edging looks perfect for the first time ever using a string trimmer. The claim is true that you can edge perfectly as fast as you can walk. The chain link fence was no problem when sliding the edge of this thing just under the fence. Did not hang even once. Finally, where the grass along the fence from the other side was poking six inches through the fence I simply turned the flat side parallel with the fence, moved it along the fence, and it cleared out all of the grass with no hanging. No, I do not work for the company or in any other way connected. The product is just that good.",I have no pain in my back or arms,Fantastic! If I Had to Pick Between This Item or a Riding Mower I'd Pick This Every Time
2235,"first thing first: it works. the kit is great in what it consists of and the price is just right i think. to call someone to clean my dryer vents i got quoted from 80 all the way up to 200 bucks. so if you were able to do it yourself you will need to invest a bit more in a ""construction"" vacuum that cost about 80100 bucks and start the savings basically from the second time you do it.

so what is with the 3? my brush broke inside my vent!!!! while i was pulling it out, and yes i was using a drill, all the pieces came out except the round brush. i had to climb to my attic and push it from the other side to come out... what was supposed to be an easy task ended up with me spending over an hour extra in climbing in my attic, disassembling the HVAC pipe so that i can get in there and push down on the brush...

another minus for this kit is that while it is fairly bendy, it will not go very smoothly through your flexible insulated pipes and most likely push the pipe out from its connector.

with all that said, if your vent duct does not have to many bends, and you want to take the risk maybe i had a defective kit that the brush broke, you might save a lot of money doing it yourself!",good kit,good kit with some caveats
2236,I use this software every day to keep up with my personal finances. Getting the newest version every year gives me the confidence that I have the newest tools available for my needs. The 2015 software is not a great leap forward from 2014. It is more of an evolution. I don;t see any OMG new features. But it is still a solid product.,Excellent product,I upgrade every year
2237,"This review is for the FHI Brands Technique Nano Weight Pro 1850 Tech Hair Dryer: Firstly, it is a 1500 watt dryer. Seeing that it had ""1850"" in the title, I thought it was an 1850 watt... nope. I always thought that they put the number of watts in the title, so this threw me off. Which leads me to my next point... drying time. Since it is 1500 watts, it took me much longer to dry my hair. I have medium length, thick hair. For the past few years, I have been using my trusty Conair Pro Hairdryer I purchased at Costco. It is an 1850 watt hair dryer, I think paid less than $20 for it. I do not think I have ever paid more than $25$30 for a hairdryer, so in reviewing this, I am comparing it to what I am currently using, dryers I have purchased in the past. This one claims ""reduces drying time up to 50"". That was not the case for me, it actually took me longer! Drying time: 3/5 Not specifying wattage in the description I could not find it, the fact that I thought the ""1850"" in the title was misleading: 0/5. Weight: This is listed as lightweight. Yes, it is lighter than the Conair some of the others I have used, although not the lightest one out there. Being Lightweight: 4/5 CorTongue sticking out, cheeky, playful or blowing a raspberry The cord is 9 feet long, does not retract, bulky. For your average home user, the cord is ridiculously long. Where this would be beneficial is for stylists in salon, or for the home user that does not have a plug close to where it is going to be used. CorTongue sticking out, cheeky, playful or blowing a raspberry 3/5",What a useful product,1500 Watts.. not 1850
2238,"This book contains not only nice captivating illustrations every child will love, but the story will help children with their first day anxiety. Being a mother, I always  worry about my children settling in new places and meeting unknown people, wherever there are changes I will make sure that I prepare each child for each occasion, so if you are a mother like myself who wants some extra help with their children's first day at school, this book is a must. The extra read along video is an added bonus too, that you will not find in most children's books. I bought this book for 99 cents only, and I think the author should think about putting up the right price. Well done.",Amazing read along video,A must read for those first day schoolers
2239,"I have no issues with the build quality of this product. I believe that it is every bit as good as the actual Kreepy Krawley. My issue is that it just does not work well in my pool. It gets stuck in my deep end until it eventually finds the drain. Then it sits against the drain until I pull it off. This may be because of the shape of my pool, but it just is not as good as I expected. I even bought additional hose lengths at Lowes for $1 each, which helped a bit, but it still never left the deep end and always stuck to the drian.",Good Product,I believe that it's every bit as good as the actual Kreepy Krawley
2240,"People before me have gone into much more detail about the songs than I will. I am only writing this to say that if you once liked Vs and Vitalogy, you should get this album. I do not undestand why people have such a problem with PJ's experimentation phase, but in this case there is none of it, we have a short and sweet grunge rock album just like in the old days. The songs are well performed and the track list flows well: I would not change anything. ..well except the cover artwork...",I did not know why PJ's experimentation phase is the best,Great album
2241,good general use shampoo,Five Stars,smells clean
2242,Fixed my leak,Five Stars,Four Stars
2243,item recieved in good condition ....an excellent buy,great,Five Stars
2244,"enjoyed the song and had a lot of ""fun"" listening to it. i only gave it three stars, because i am a hard rater in this these when it comes to music, although i recommend this song, it is not my top 100 list.",i am not my top 100 list,fun fun fun
2245,Just what was necessary to replace my daughter's busted laptop. I was able to fix my self so well worth it!,Good,Just what was necessary to replace my daughter's busted laptop ...
2246,undersized,Five Stars,undersized
2247,Its ok. Its not the greatest quality and not very soft. It does not stay plush for long once it gets some traffic on it. The shag is longer than I would have  liked too. The rug is a bit overpriced for what you get. I was over all disappointed in this purchase,ok. Its not the greatest quality and Not very soft,Overpriced and low quality
2248,The best pronation correction I have ever had even better than my custom orthodics!  Nothing but ASICS!  Worth every cent... no more joint pain.,Best pronation correction ever.,Love these shoes!
2249,"Do not waste your time. Colors are way off, Leaks makes a big mess, you spend more TIME cleaning up the mess then deciding to try this product out. TIME LOST IS MONEY LOST.",Be careful,BAD PRODUCT Save your Money and most important save your TIME
2250,"It worked like a charm, so to speak, at first, but stopped working after only a couple days. Soon after that, the pieces came apart. It just was not up to being carried around in a purse.","It worked like a charm, so to speak","Cool toy, but didn't hold up"
2251,"I brought the Headlights, high , low , fog lights, and they were perfect. However, these reverse lights sucks. Sometimes they work sometimes they do not. I found out that these do not fit snuggly on a 2007 Nissan Titan. A little vibration will make the connection loose and thus not work until you hit the pot hole to wiggle it back in place. Not ideal for any 4x4 truck or car! The brightness is great when it works. Do not buy if your not sure if they fit perfect for your vehicle.","I brought the Headlights, high...",NISSAN TITAN BEWHARE
2252,"I just wish it was more powerful and a bit wider range, however it is a nice Led spotlight. I am sure that eventually more powerful ones will come out in the near future, even though this one does the job. I would recommend it.",I just wish it was more powerful and a bit wider range,Good product
2253,"I really like the way these fit in this color only though. I had ordered a pair of black, too, and it is not the same material and I really just do not like the black jeans at all.",A good fit!,I really like the way these fit in this color only though
2254,"I remember going to a Johnny Mathis concert in Albuquerque, NM when I was about 18.  I think he is only about 3 years older than I, because he was very young.  I have loved his music ever since.  I will never forget hearing his voice on a quiet night in El Paso.  He was singing ""Chances Are"" which is my alltime favorite of his.","I remember going to a Johnny Mathis concert in Albuquerqu,",Another favorite of my youth.
2255,Looks like a real Army hat. Great ornament.,Great ornament,Looks Real
2256,It was me trolling Amazon for a good read that led me to come to read Kelly Armstrong's work. She is so well written that her stories could be real life and not fiction! Pulling off paranormal fiction has to be told in a way that is real and not over the top.  The characters are believable and strong. Can not wait to read about Maya's transformation and what secret is being kept by the town that has taken care of her all of her life.,Great read for me,One of my favorite authors!!!
2257,"I use these for an external transmission filter system on my 01 F250 I purchased from www.dieselsite.com.

Arrived quickly, intact and cheap! Cannot beat um!",Great,"fast, quality, cheap filters!"
2258,As described.,Five Stars,Five Stars
2259,how can you not like a John Wayne movie,Five Stars,Four Stars
2260,very soft yarn,Five Stars,Five Stars
2261,"They were shipped in the big packing box in a separate ""chip"" box.  They were fresh and perfectly preserved from breakage.  My husband likes the BBQ.",Perfect,They were shipped in the big packing box in a ...
2262,I loved this book. The hero and heroine were super likable. Real old school love story. Great read great story!,Great read,I loved this book
2263,Like it.,Five Stars,Five Stars
2264,Not sure unusual plot. Good story,Five Stars,Good
2265,"WHAT. DID. I. JUST. READ?! This is the first book that I read by Rachel Robinson, and it blew me away! I freakin' LOVED LOVED LOVED Time and Space so much, but this author has made my list of authors trying to kill me! Navy Seal Cody Ridge had everything he wanted until some men took it away. They took his career, fiancee', and he barely escaped with his life. Now he is back after 3 years, and is the boss of Ridge Contracting which fills up endless hours. Lainey Rosemont is a successful decorator, but she cannot fix her past love life. Cody was the man that she wanted to spend her life with, but she finally had to move on when she thought he was dead. Now she is engaged to another man, when he comes back into her life, and she knows he is the love of her life. As her wedding draws closer, she must make some big decisions, and a past to confront before it is too late. WOW! I found myself physically exhausted after finishing this story. My heart was ripped out and stomped on, barely shoved back in healed. The character development is great, with secondaries that I would not mind having their own stories. A fast paced, mysterious, and well written story line flows very smoothly. Rachel Robinson's diabolically evil twists and turns had me on the edge of my seat while my heart raced cover to cover. Just as I thought I was reading in one direction, BAM! A throat punch out of left field. The chemistry is SIZZLING, leading to SCORCHIN' HOT sexy scene goodness that I could not get enough of. With the angst factor off the charts, and high intensity suspense, I could not put this book down",This is a great book!,#TIMEANDSPACEINTHEFASTLANE
2266,"I purchased this toy for my friend's son and he loves it!!

This is a very sturdy toy and easy to set up. I have been told he plays with it constantly and when it is time for bed, it is an easy cleanup for mommy.

I would highly recommend this for anyone as a gift.",I would highly recommend this for anyone as a gift.,Great toy!!
2267,"AVERAGE is best known for their free antivirus though they have offered for years a full security suite. I had never bothered to try AVERAGE Internet Security AVERAGE IS, mainly because it is an expensive package in comparison to most of the other offerings on the market. That said, it is a solid product and worth consideration in spite of the cost. I should start by stating, for the record, that I had a dreadful install experience. AVERAGE IS partially installed itself and then errored out. After a reboot, AVERAGE IS was alive but outdated, and what was broken was the ability to update. Worse, the uninstall was also broken. After getting the uninstall ironed out, I tried to install again and this time everything was much smoother. AVERAGE IS is organized and clean with a very clear and easytounderstand overview dashboard. At a glance you can tell what is active and what is not active. Doubleclicking on any of the icons in this view gives access to adjustment controls by which the component in question can be manipulated and set as desired. I like this particular view. One thing that is not clear, though, is that to get to the real nuts and bolts of the various components' configurations, one must use the pulldown menus, not the icons. AVERAGE's firewall appears to do a good job of hiding the system on the net, locking down service ports and cutting off ping responses. I was unable to break it. However, where it gets interesting is in the control afforded the user individual applications can be locked down, policies set for different networks, and so much more. Other firewalls do this, but AVERAGE's organization in the interface is better than average. AVERAGE's track record as an antivirus vendor is well known.",AVERAGE Internet Security is best known for their free antivirus though they have offered a full security suite,Solid Product
2268,"This is a great activity table.  I wish they had some ""toy attachments"" that were just a loop to attach other toys to, but it is fun.  The notes on the piano were an odd choice, but my son likes playing it anyway.  It was too tall for him when he was first able to use it, so we propped up the disk for his feet at first.  Once he was tall enough, the adjustable support was easy to adjust. My biggest complaint is that the clear ""view"" piece under the piano is not removable.  It gets really dirty and is impossible to fully clean.  I am afraid we are going to start getting mold. I love that this will convert to a table instead of an exersaucer when my son is ready for that.",Fun!,This is a great activity table
2269,Looks great.  I have not tried using it yet but I am collecting recipes to replace wheat flour with coconut flour.,Looks great. I have not tried using it yet but,Looks Good
2270,I bought this for my niece and she loved it! Philosophy is great and she said this set.  Smelled awesome!,Five Stars,Great gift
2271,Great product!!!,Five Stars,Great Ball!!!
2272,Horrible!!! Smelly; and very poorly constructed.  Handles broke after a few uses; Stiching came out after first day of use.,Spliffy,Horrible
2273,Great feeder,Five Stars,Five Stars
2274,"I love the product. There are 2 scents that are not my favorite, but my personal perference!!",LOVE the product,Four Stars
2275,"Yes. If you have a child who sticks things in his mouth do not buy this. However you may want to have a talk with him because that is a weird habit for an older child. My son is 7. He LOVES Geomag. We have many sets. He would never put one in his mouth because he needs every single piece to complete his creations! He makes tall buildings, automobiles, trains, things that spin, balls  everything you could imagine. He does not follow the included plans  just builds on his own. He sticks them on everything metal around our house. It is just a great toy. You can throw a bunch of the balls/sticks in a bag to take to the grandparents, set them at a table  they are good for an hour. Every child has different interests  attention spans, but if you have a little builder this is a great toy.",Good toy,Fantastic for boys who love to build
2276,"Save your money. Go to the dollar store and buy a similar set than buying these.  Same poor quality.  Buy cheap, buy often.",Same poor quality,Terrible Quality
2277,this is good on paper but a little small for some stamps and not for fabric so it was not what I expected.,Good paper but a little small for some stamps and not to fabric so it wasn't what I expected,ok for paper
2278,"I already own the PDP Trigger Grips for my PS Vita, but when laying down in bed playing, my hands would go numb and cramp up around the half hour to hour mark of gaming. This was getting quite annoying so I started looking for a new solutionand the CTA Grip is that solution!
Since switching over to this grip, my hands do not cramp up as much at all. Only occasionally do I run into a cramping issue. Additionally, the weight of this grip and the PDP grip is roughly the same. What I was surprised the most about was that the L and R buttons are actually easier to hit on this grip than with the trigger grips at least for the game I am currently playing which is Ys Memories of Celceta.

I have combined this grip with an analog stick cover from Cyber for my PS Vita and overall the experience is mostly solid, but still not perfect. This grip is good, but sadly the PS Vita moves around in the grip PS Vita 1000, even with the lock mechanism on.

Furthermore, this grip is being sold by off brand names on other sites for much cheaper so you may want to grab one from those sites or Amazon since they are the same exact product, just not sold with the CTA name. I personally went with this one because I wanted the benefits of Amazon prime shipping and guarantee.

Overall, I would recommend this grip, but I would just try and grab it for the cheapest you can get it for since it is just a fancy piece of plastic.",Great grip for PS Vita,I prefer this grip over my PDP Trigger Grip most of the time...
2279,I need more time!,Five Stars,Five Stars
2280,works fine.,Five Stars,Five Stars
2281,"My go to socks for long days at work on the floor.  They are great support without being to terrible hot or tight.  Top band is a bit tight, but nothing I am going to complain about as the rest of the compression and fit is excellent.",Great socks for long days at work,They are great support without being to terrible hot or tight
2282,"I received a sample of these yummy treats and wolfed them down. I am incredibly picky and was shocked I liked them.
My friend felt the same way and wolfed his pack down too. As soon as I could I got on Amazon and ordered a case. We have eaten about 6 bags and we still love them. The best way to eat them is to get one cheese and one candy covered and put both in your mouth and enjoy! So YUMMY!",I was shocked they were so tasty. My friend felt the same way and wolfed his pack down too,Snacks from heaven!
2283,"Not very good at all. Although claiming to be on top of malware and viruses, it is antiquated. But, it is far better than Kaspersky. You are in big trouble if you have that one!",Not very good at all. Though claiming to be on top of malware and viruses,Not very good at all
2284,Corel PaintShop Photo Express 2010 is  very basic program that was not what I thought it was.  It does not provide the user with enough tools to edit photos the way I had hoped.,Corel PaintShop Photo Express 2010 is very basic program that...,Basic Photo Editing/Nothing Special
2285,Lamp chop is a classics  great details  great toy,Five Stars,Five Stars
2286,Came on time.. works great.,Five Stars,works great.
2287,good,Five Stars,Five Stars
2288,Just what my grandson wanted. He loved it!!,Five Stars,He loved it!
2289,"Very good price for the product. Very pretty sheen and soft. Sized well, even worked for me and I am plus sized.",Very good price for the product,Happy with purchase
2290,"Easy step by step instructions make for a super easy installation. They really go the extra mile in explaining the steps and how the process works to ensure you have a great experience: easy instructions and a video. Really it could not be made easier. And, like they said, I waited the 23 days and all the bubbles disappeared. Very nice  perfectly clear screen  and very rugged feeling. I expect it to protect my Nexus perfectly.",Great Easy Installation,Works Exactly as Advertised
2291,Extremely good movie.,Five Stars,Five Stars
2292,Great product!,Five Stars,Five Stars
2293,Great price.  Quick shipping.  Great fit.  Nice graphics. Easy to put on  take off. Would buy it again.  Two thumbs up!,Great price. Quick shipping,Tree Skin
2294,"Great product for a goody bag for a birthday party, which is how we will use them. Cannot wait to pass them out.",Great product for a goody bag,Great Product
2295,"Great deal and loved the ridged edge, the other brands do not have this. My husband loves these flat flossing picks. They did seems to break the floss breaks off the plastic a lot when I used them though. I do not know if it is the brand or if it is because of the flat comfort floss that is hard to make it sturdy. Because they broke so much I used them twice as fast and it was not really that economical.",ridged edge,Great deal and loved the ridged edge
2296,gooddeal,Five Stars,Four Stars
2297,"They are fine for my use, painting or staining.",Five Stars,Four Stars
2298,Works good and easy to install,Five Stars,Five Stars
2299,This is a good buy. I like the double pack. The knobs are slightly bigger than the cheap locks that the builders used and it is nice to have a key in case the kids accidentally lock themselves in their room... I can open the door after I have enjoyed the peace and quiet in the rest of the house for a while!,Great for the money!,Sturdy knob and lock for inside
2300,"Great Stand for cooking  bring recipes up on the iPad and place on stand, Now we have hands free  ... it is great.",Great Stand for cooking bring recipes up on the iPad and place... it's great,Great Stand for cooking
2301,"We have 24 foot of solid dryer vent pipe ending in 3 rightangles before going through the floor into the flexible dryervent hose coming from the dryer. I cannot get behind the dryer without moving both the washer and dryer and they are HEAVY. So being lazy I decided to clean the vent from the outside of the house inward. I did not use a vacuum cleaner or a blower or suction of any kind. I did tighten each section of tubing with pliers and taped them. I threaded all 24 foot of tubing with the brush on the end into the outside vent and then backed it out. I got a good amount of lint clods out. Then I turned on the dryer to blow everything out. I got no air coming out at all. My fear had come true, I had forced gobs of lint into the rightangles at the end of the run. I still did not want to move that washer and dryer so I figured I would try one other thing, use the clodbuster attachment. Now I am really getting lazy so I tightened each tubing section by hand no pliers and did not use tape. I pushed all 24 foot of tubing into the vent until I hit some resistance and then turned the tubing by hand too lazy to hook the drill up. Then I pulled it all out and there was not any lint at all that came out. So now I am resigned to having to move the washer and dryer, but before I do I figured I might as well turn the dryer on and see what happens. Lots of lint clods blew out and kept coming out for about 20 seconds. I have attached pictures of it. I am",So being lazy I decided to clean the vent from...,This really worked well even taking shortcuts
2302,I do not think this really helped my lashes look any better and I one tube was not a 6 month supply.  It definitely was not enough for 6 months.  I did not notice a difference in my lashes.,The best for my eye,I didn't notice a difference.
2303,Partisan Records Summer/Fall Sampler 2013 is a acclectatic mix of music that kept me interested in listening to more. I would definitely recommend this album,Five Stars,Partisan Records Summer/Fall Sampler 2013 is a acclectatic mix of music
2304,Another great read! Jo Nesbo hit another home run.,Another great read! Jo Nesbo hit another home run,Five Stars
2305,This album rips! Speed metal at its best.,Five Stars,A must for thrashers!
2306,"""Fire"" is one of my favorite films.  Beautiful and powerful performances, scenery, and plot. An amazing story.

However, when I ordered it on DVD to replace my VHS copy, I received the worst pirated copy I have ever seen!  Not only would it not load properly, I had to start it via scene selection and not ""play"". It also stopped just before the ending, and had weird photocopies come up on the screen. Make sure you are buying from Amazon and NOT a private seller!",Best for VHS copy!,Love this movie...hated this DVD!
2307,Fits Frontgate Copper firepit perfectly  nice material and looks perfect on  Very  easy to put on or take off,Fits Frontgate Copper firepit perfectly nice material and looks perfect on Very easy to put...,Fits Frontgate Copper firepit perfectly - nice material and looks perfect on - Very easy to ...
2308,Great product that does not rust or tarnis. Wish that a small hole was drilled in the biottom of the post so water would not accumulate in the post and cuase the wooden post of an umbrella to tarnish or rot. Otherwise I am very happy with the style and durability.,Won't rust or damage,Great product that does not rust or tarnis
2309,A regular Saucony wearer  could not be happier with this style and will definitely order additional pairs in other colors.,A regular Saucony wearer could not be happier with this style and will definitely order additional pairs in other colors,Jazz is a new favorite!
2310,as expected,Four Stars,Four Stars
2311,"The game is really fun to play, so many different ways to plays including tournaments. I really enjoy this game, it is however the second one I have bought, the first one quit working within a month.bought it at sell out at Blockbusters  So I checked on Amazon to see if they carried it, they did and I ordered another one, a new oneas the other was used  well, worked very well for a month, now it to is slowing down like the other one, so it must be a problem with the game, new or used it does not last long.","Very nice game, just like the other one",Short Life Span
2312,"Worked great for my BMW E93. However, software provided with cable is for windows Tongue sticking out, cheeky, playful or blowing a raspberry.",Five Stars,Four Stars
2313,Classic. Love this song. Never gets old.,Five Stars,Love this song
2314,"the idea of sophomore jynx applies to this album. it think it is thier worst. which is fabulous because every other album they did was a god send. buy this one along with the others. the hair on the dog is a fabulous song. it even has david j screaming which is something you only hear twice, on that song and on the song spiked on sweet f.a., an album by love and rockets. it also features each member doing vocals, except daniel ash speaks backwards....",A great album that gives it a good note and this one is the best.,beautiful bauhaus...
2315,Working great. Best solution for limited distance between pedals.,Five Stars,Five Stars
2316,"It really works, goggles stop fogging. I spray my goggles 1 hour before swimming, rinse it and let it dry.",Worked great,Works!
2317,Christmas has come  gone and I have not received this book that was to be a present. Do not promise delivery if it is not going to happen.,I haven't received this book that was to be a present,Where is it?
2318,"I really liked this book. There was a tiny second that I thought it was too similar to Twilight I will not tell you in what way, I hate spoilers, but overall I thought it was great. In true Stephanie Meyer fashion, she makes you SUPER mad before the end of the story. Excellent writting, interesting characters, and a great story of hope and love. The end seemed to drag a little, but it was fun to read.",Great book,what a good book
2319,love,Five Stars,Five Stars
2320,Birds love it.,Four Stars,Five Stars
2321,Both cats enjoy this .,Five Stars,Five Stars
2322,Great best I ever used works on all parts,Five Stars,Five Stars
2323,My very favorite movie I have watched it a dozonentimes,Five Stars,Five Stars
2324,"Have not used this product yet, but sure I will when the grilling season begins.  Cannot wait to use, replaced make shift item for the same purpose.  Glad to have the real thing!",Good product,BBQ ready!
2325,"very nice pool gadget  light. If you are reading the reviews you should understand that this is not a spot light that will light your entire pool. I have a 16ft above ground and where ever it is floating lights up very well, casting lightly on the rest of the pool. When we need to get out, we float it over to the steps and can see just fine. The kids love the LED colors while swimming. For the price I recommend this product.",Very nice Pool LED Light,Nice Pool light & kids love the color LED strobe lights
2326,Great product,Five Stars,Five Stars
2327,A really good thriller highly recommend watching this movie.,Five Stars,Five Stars
2328,"My local hobby shop just went under new management and is out of EVERYTHING, so I got this tire glue off Amazon. It works well on my TMaxx.",I love this tire glue,It's glue
2329,"I am going to have to go against the consensus on this one and say that I found this book to be very disappointing. The prose and streamofconsciousness writing style was very hard to follow, the story dragged and dragged for dozens of pages, and out of all the characters including the main character the only one that was likeable in my opinion was Lt. Awn. I made it about half way through before giving up. Based on all the reviews I have read, I really cannot reconcile how this has gotten so many 5 star reviews and so much hype on sites like io9. The book is written in the 1st person perspective of a fragment of a fragment of a shipmind AI inhabiting the body of a ""corpse soldier"" similar to the thrall technology in Neal Asher's Polity books. The perspective is constantly changing between the corpsesoldier fragment, a higher order fragment, and the shipmind itself and is very difficult to follow. Another REALLY annoying idea is that the fragment does not distinguish between genders refers to everyone as her, but other characters do use gender pronouns, and the kicker is the fragment tries to use them when speaking to normal humans. Trying to keep all this straight is really more work than I am willing to put into a book like this, especially when none of the characters are described any any sort of detail. I also did not find the story very interesting, it spends way too filling in seemingly uninteresting background information and not enough time explaining the actual plot, when it does, the continuous perspective shifts and misuses of gender pronouns makes it all the more difficult to follow. Also it seemed to me like there were some major editing errors, because even despite","""Squabbles"": I made it about half way through before giving up","Don't believe the hype - very difficult to read, not worth the payoff."
2330,"Fits fine, easy to grip, allows access to all controls, though getting to the volume buttons would be easier if I had long fingernails.  Looks like it belongs there.
As you might expect, use this only if you are not using any other case or cover, because the phone will not fit into any other cover made for the phone when this is in place.","Fits fine, easy to grip and allows access...",Skin for E71
2331,"This game is just not that fun. I go in on hard and the game is still easy. On top of that, you have to fly in specified war zones. If you leave? Game over... Get a real flight game for like the computer because this game is stupid. On top of that, this game has some nice graphics, but that is only in the clouds. Everything else is way too boring. Another thing, the models on the planes are a little too big because sometimes you can hit your tail on the ground and not even really touch it.",This game is just not that fun. I go in on hard and the...,Not that fun...
2332,"2 oz. 59mL Original Gorilla Glue, Model: 50002 , by Tools Hardware. Note: This is a product review only, and not an endorsement of the vendor. There may be less expensive vendors available. The Gorilla Glue Company makes many different glues, in different colors and container sizes. The one I am reviewing is the 2 oz. size of the original brown colored Gorilla Glue. This glue will dry out in the bottle, so I do not recommend buying larger bottle sizes, unless the glue will be used in the near future. For most of us, we use a little glue, and put the bottle away until needed the next time. This glue is interesting, in that you wet the surfaces, add a thin layer of glue, and clamp the surfaces together for 12 hours. In the meantime, the glue will expand and turn into a hard foam. After application, any exposed expanded glue may be peeled away or squashed back down a bit while it is drying, so that the repair is not so noticeable. This stuff will eventually dry as hard as a rock. Overall, I would give this glue an Amazon rating of four and a half stars, rounded off to five stars, as Amazon requires ratings to be in whole numbers. Note: This glue will not stick to plastics very well, so for that, I use the old style Testors Cement For Plastic Models, No. 3512, 7/8 fl. oz. 25.8mL UPC Code: 0 75611 35120 9, and yes, it may be hard to find, as kids used to get high and sick from sniffing the fumes from it in a paper bag. Most model cements nowadays are safer to use, but do not stick as well. The old stuff would literally melt the plastic pieces being glued",Great glue!,"Good For Most Things, Except Plastic."
2333,"Nas's ''Illmatic'', is a hands down classic from the beginning to end it shows how good Nas was before he is even at the age to drink alcohol. At 20 years old Nas puts down 10 tracks which is rare for a rap album because of these 20 something track rap albums. This will make you want more from Nas. HE is a great street story tella. If you see this in a store BUY IT!!! Because in a while this album will go out of print and it will just be a classic historic artifact. I do not need to say ne thing about the songs cuz they are all 10/10, the songs are equally as good as the other one. This is one of the best hip hop albums put together. Also buy Nas's second release ''It Was Written'', because that is a good album too.",Great Screams,"Read All These Reviews, They Aren't Lying!!!!!"
2334,These seem to work well on our doxie... be aware it makes their breath smell like the treat... not such a great smell.,Good smell,Work well.
2335,"great exfoliater and changed my winter lips into the luscious, soft lips that were underneath all that dry skin!","Great exfoliater and changed my winter lips into the luscious, soft...",I cannot live without!
2336,if you are a repair tech . this is a must have. with all the different makes of autos I have not found 1 yet this tool did not work on.,a must have,if you are a repair tech. this is a ...
