,reviewText,predSumary,actualSummary
63,Great,Great. Great for a great price.. Five Stars Five Great Ideal... I.. A.. BBBuffer..!!!!!.. a.bras..,Five Stars
64,You cannot go wrong with Hot Tools!,Great Tools!!! I've ve m Hot Hot Fingers! I can't get any any any Need Needss - - - or anyone else else else!! Love these Hot Hot Hots! I Can't go anywhere else!,Great brand
65,"I have tried everything from premium designer stuff to the value stuff.  When it comes down to it, it is really just shaving soap.  This stuff is no different.  Proraso is a very good shaving product.  It does not have the variety of scents that other soaps/creams have, but for the price, it is a good lowfrills product.  The soap is just hard enough to load my brush on it, but soft enough to get a really good load without too much effort.  It really whips up a great rich lather that is very slick.  It leaves my skin feeling hydrated and it works great with the Nivea aftershave balm.  The only gripe I have is the scent.  I do not particularly care for the soapy scent.  It is not bad, I just would not wear it as a cologne.  Of course, smell is completely subjective.  Like most all soaps, the scent does not linger for more than a few minutes anyway.

Overall, the soap performs great.  There is plenty of product in there to last more than a couple of months.  It performs as well as TOBS, but 25 less expensive.","Great soap soap - but soapy soap soap. soap...!!! Soap soap is soap soap!!.. soap soap and soap soap is just just just as soap soap soap for soap soap, and soap and shampoo soap soap from soap soap",Great soap - but soapy scent
66,"This is a fairly light cream for a night cream.  It seems bizarre to me that the instructions suggest using this ""under your regular night cream.""  Why on earth would I do that?  It does seem moisturizing enough to me. I am 44 years old. Do I look ""as if I had 2 extra hours of sleep"" when I wake in the morning, as the bottle promises?  Not particularly. But my skin is sufficiently moisturized.

I do think the scent of the product is too strong, particularly for a face cream.  I would love it on a hand cream, but a very strong perfumey scent right under my nose is a bit much.  It is overpowering, and not necessarily the perfume I would choose to wear to bed.

The cap is an interesting design, because it does not remove from the bottom but rather twists up and down to reveal a hidden pump.  The good thing about this is that I will not lose the cap or forget to put it back on.  I do not usually have a problem with this, but this design makes it impossible.  I can tell from the design, though, that there is going to be no way to get out the very last of the product when it is running low, because I cannot remove the top and place it upside down over another container, or scrape out the sides of the bottle.  I know not everyone does things like this, but it really annoys me to have to just throw away a product when I know there is still some in there!  When the time comes maybe I will find a way to pry off the top so I can get to the last 1520 of the product.","It's a light, light, but... but not as strong as I thought it would have been been supposed to be be a mild as a mild cream as it's supposed to have been a mild mild mild cream or cream cream or otherwise otherwise.","Lightly moisturizing, weird cap design, and overpowering scent"
67,I wanted something to add a bit of sparkle to my hair and this is perfect!  It is very subtle unless you get carried away and I have also used it on top of my blush for evening wear.  I do not think I would want to put it all over my body but for a touch hear and there it is quite attractive.  It is exactly what I was looking for!,This is perfect! I've had this this and I had this a lot of light and it really sparkle and I'm m in love with this light! I just just had a light and I really m m so much more like a sparkly and I added a little sparkly,Exactly what I was looking for!
68,Great Product.. Great Shipping Thanks...,Great Shipping Ship. Great Shipping. Thanks... Great.. Shipping. Great Ship. Ship.. Good Great. Great Great Ship Ship Ship. Good Shipping. Ship Ship Great Shipping Shipping.. Ship Shipping Ship Ship Shipping. Good Great Shipping Great Ship,Four Stars
69,Very cute!,Very cute! I would buy it again!! and!!! Love it! I too!! It is so so cute!! I can't live without it! It cute! It's cute and cute toddlers's's!,Five Stars
70,20 year consumer of pevonia. did not observe much benefit from this specific product.,Three Stars... didn't know work not use it to be able to use it on my prachytotototetetotoxio for my pepsititannononote phynono p prions,20 year consumer
71,"A little goes a long way. I take a dime sized amount and rub my hands together to warm it up and loosen the thick cream. Then I smooth it on my dry hair. It helps contain all the frizzes. Good product, nice smell, not oily at all.

I would recommend this for anyone with frizz and/or dry hair. NOT recommended for fine hair.",I like it. I have a long time way. time and I use it to keep my hair dry and I give it it a long way to dry my hair and get a little shampoo. I get this to use the dried off the so.,Use only a TINY amount and rub between hands
72,I really like this hairspray and I have fine hair.  It is not sticky and smells very nice.,I really like this shampoo. I like this hair hair and it really does a nice job. I like it and I feel like it doesn't dry my hair and I really enjoy this shaving shaving and I use this sopoo and this shave,Five Stars
73,"MY STYLIST JUST DID MY HAIR WITH IT AND I LOOK AMAZING, NOW I JUST HAVE TO LEARN TO DO IT",GREAT PRODUCT OF THE WITER ST STANNININITING!!! A PROCICKS SH SHNGER STANT OF MOVIEVIE DEVIVILY ST STLY PRE,"... JUST DID MY HAIR WITH IT AND I LOOK AMAZING, NOW I JUST HAVE TO LEARN TO DO"
74,"This is a nice smelling serum that looks like a clear gel, but when applying feels almost like an oil. The scent is pleasant. To me, it smells like a bit of cucumber with a predominately orangecitrus smell.  I was concerned because fragrance/ perfume is listed in the middle of the ingredient list so I was not sure if it would be too strong or not, but I did not have any troubles with this. I am sensitive to a lot of the flowery fragrances. I believe this one smells more fruity than flowery.  It is a nice serum, although I did not notice a difference in my fine lines, so it was not a magic ""fix all"". It did help my face feel smooth  hydrated though. Was surprised at the price,  it is probably the most expensive serum I have ever tried.  The description lists the product as ""paraben free"",  the ingredients listed on the box do not list parabens, however the last 7 ingredients in the picture in the description seem to be incorrect here,  differ from what is on the actual ingredient list.","This is a nice serum to remove your skin serum serum serum if you're looking for a serum, it is a very nice serum, but it's a nice cream. It is a mild mild cream, but seems to be a nice neutral serum...",Nice serum but pricey
75,Nice,Nice. I like it. I have to to... been looking for a different type of polish.hhes.. like it to be wearing a nice collar. I liked it to like it for a good price. I wish,Five Stars
76,This polish is a bit dark for my taste but I do like it when layering with another CND color.  I love CND polish.,"I love this polish and I like the color and I I like this ph. I like my dark brown and I love the color, but I really like the ph color and the color is a bit more darker than I do and it is definitely a bit darker than it it is",Vexed Violette
77,"I am not good at discerning or finding right words for describing a smell. I think that after spraying it on my skin, I smell musk, wood, a hint of tobacco, and, maybe  just maybe  a bit of citrus. I love citrus and use Chanel Allure Homme Sport for day, but also like Lanvin or Armani  for evening, so I cannot say that I am going to use this cologne a lot. However, I must admit that it is very solid perfume and makes a good impression.

The bottom line: this is a solid evening perfume for man. It is heavy and warm, quite longlasting I used just one pump of spray in the afternoon, worked out and showered afterwords, and I still smell it in the morning. It is pretty strong at first, so be careful with the amount and give it time to develop...","I don't know what to expect from from from the, but it doesn't make me to be able to be smelling smelling, very good smell, not very strong smell... not quite quite as as good as I remember smelling it at all.","Classy, heavy, warm, long-lasting"
78,We cannot go wrong with Ellie  can we?  I love this and so will you.,I love this so much I will buy again!! I!!! love love this! I will will you too! I am so so glad I I can't wait to see if you can's love love love it! I I love it so so I will,Red nails for summer 2014
79,"Hands down my favorite tinted moisturizer. It is rich, creamy, applies quickly and evenly. It is not overly shiny, even with the SPF. I add a dusting of sexy mama translucent powder and I look put together and ready to go.
The light is perfect for my NC15 coloring, and blends out easily.
It is priced well and the tube lasts a really long time!",Best moisturizer I've ever used!!! My favorite oil I have used on my sensitive sensitive skin... very high high - quality tinted tinted sensitive sensitive sensitive face. My favorite moisturizing moisturized tinted faceplate.,Tinted love
80,I am not a fan of this polish.  It has a relatively dull finish and take 34 coats to effectively coat the nail.  I would not recommend that other people purchase this polish.,"I don't like this polishh but it doesn't't look to be a phh... but I've ve seen many polishes and I'm m not fond of red polishing, but this ph",Ehhh Coverage
81,Love this product. It is the brightest color i have. When you put two coats it gets very reach coral. Recommended!,Love this product... love the color!!.!!! this is the only thing I have ever seen this!! I love this product! I have seen every day that day I love the light!! Bright and bright and bright I have the day.,"Very nice, spring-summery"
82,"Exactly the same as what I bought at the beauty salon, and at a more reasonable price.",Just what I was looking for at what I the my Exactly as I expected. Exactly as the picture of the picture and exactly as described. Exactly exactly as I wanted. Exactly what the price at the same same same as as the the picture...,Wonderful!
83,"CND is one of the best brand of gel shellac that I have used. It will cure using an LED light or a UV light. I have used both.  I have tried some of the less expensive brands, but they have caused nail damage, especially the ones that claim not to need a base coat. As long as I soak off the CND gel thoroughly with pure acetone, there have been no issues. Do not scrape residuals off. Let the acetone do the work. Make sure all layers are removed. If your nail looks shiny, the base coat has not been completely removed. Then soak longer. When applying the gel, be sure to apply one coat of the base, 2 coats of shellac, one top coat, and cure according to the directions between each coat. Be sure to seal the edges of each coat or you may get water between the coats and your nail, which may result in a nail fungus. If applied properly, it will last 2 weeks. I would not advise keeping it on longer than this due to the breakdown of the shellac, and nail exposure to water infiltration. Love this brand. Well worth the money.",One of the best gel gels I have have found this this is the best. I have used this gel for a long time and and it's the best I've ever used. I use this gel gel gel that I have ever used in my products.,Best Brand of Gel Shellac
84,"I have always preferred rollon deodorants, but had a hard time finding one in brickandmortar stores that was more natural, and Paraben and Aluminum free. I was not familiar with the Vichy brand, but I read very positive reviews.  I really likenbsp;a datahook""productlinklinked"" class""alinknormal"" href""/TomsofMaineNaturalDeodorantStickApricot225OunceStickPackof6/dp/B001FB5OAO/refcm_cr_arp_d_rvw_txt?ieUTF8""Tom's of Maine Natural Deodorant Stick, Apricot, 2.25 Ounce Stick, Pack of 6/a, but I was thrilled to try this Vichy 24 Hour DryTouch Roll On Deodorant! It is surprisingly small and compact, perfect to tuck in your purse or overnight bag. It has a clean, mild babypowder scent which I really like. It rolls on smoothly, dries quickly and goes on clear. It claims ""24hour protection during low to moderate activity on even sensitive skin"", and I think that is accurate. I have not tried it for a workout, but it did work well on a recent 90 day I spent outside! It is pretty pricey, but I am really happy with it and a little seems to go a long way.","I've never been happier with this product flanneamorices,,, and and I have used to be beadadricric di diododorant, but I have always opted for this this porant... not so much.",Great mostly-natural roll-on!
85,Terrific nude color!,Awesome nude nude nude!!! Arrived my by by nude nudeess!! I'm not a nudeessessess's stifier! I can't live without the nude nude body!! Love!! Defecture!,Five Stars
86,I cannot say enough good things about Jand Iredale products. I wear them exclusively and have no desire to change. This gloss is a great color. It does not cake up like others I have used. Great price too.,Great product. I don't know how how I what what's not to say about this. I can't tell you about what I am looking for... I've ve been using using this stuff. I have a lot of products.,Great product
87,"Thought it would be a little darker, but overall still a good color!","but it's a good color but it still pretty pretty, but it was still a pretty color but the color was a little more but it is a pretty good color and it'd be a bit more more dark and it is still still still a good fall",More grey than expected
88,Too drying and not effective.,"Too expensive and too expensive for a very few few cheap... not to use and very cheaply. stream.. not very very effective and veryly used and very difficult to use, too too expensive and very very expensive and is too.",Will not purchase again.
89,"This moisturizing cream smells very nice and has this rich texture when I lather It on my skin. It is oily without being sticky, and it works well on sensitive skin like mine. Even though it is meant to be a facial moisturizer, it works well on other parts of the skin as well.  The only issue I had was with this sizeit is absolutely tiny, so you have to use it very sparingly and selectively.",Great moisturizing cream for sensitive skin! and very moisturizer that has a very thick and moisturizes very nicely and has has a strong feeling and spicy smooth skin and has a thick application for sensitive sensitive skin and sensitive sensitive on sensitive and sensitive skin,vichy aqualia cream
90,It is okay.,It's okay... but it... it's ok. It is okay but it isn't it. It okay. It it is ok.. It't it okay. It seems to be okay. Its ok.,okay
91,this one has many things special about it. one the casing. it is pearlized blue.  with gold accents. at the top has what looks like an emblem on it for when you seal envelopes in the olden days. fairly bulky so I would not have this one in my purse.snaps open and close with audiable clicking sound.  Lip stick is true red.  Will smudge. Applies smooth and creamy. Will last at least a couple of hours before needing a touch up. Makes my lips feel really super nice and smooth too. slim lips stick compated to the bulky outside packaging. Over all like it.,this is one of the most beautiful things I... it.. this one is the one i've found.. the is a beautiful. it it's one one that that has a cup.. i.. its unique. it i found it in the,like
92,"When I grew up it seemed that Old Spice was the only men's fragrance around and, frankly, I just hated it.  Then along came Christian Dior's Eau Sauvage with what I thought then well balanced fruit and spice scents.  Here we are 50 years later in fact Eau Sauvage was introduced exactly 50 years ago and I just may change the scent I use when good old male sweat is not quite appropriate which is just about any time I am not wearing jeans and even sometimes when I am in jeans.  I love the woody smells combined with fruits like dates and herbs like cilantro and then the addition of leather  it is the leather that really hits me and is definitely something that is missing from the original formulation of my old standby Eau Sauvage.",Loved it... but I thought was.. didn't like the way it's supposed to was out of the thor's Empowering'90s and the way way way the the flavor of the 90s'and it was supposed to be,Time to change my go to scent
93,"The market for looking younger is seemingly endless. As a result companies give us countless face creams since that is where our age usually shows the most. So, I was obviously a little skeptical when trying this.

One of the biggest ways to look older and just generally not attractive is to have dry skin. This is where the serum comes in. It claims to hydrate skin to make it look healthy, radiant, and youthful. And, in this way, it succeeds.

Its getting to that time of year when I struggle with dry skin, so it was a good time to try it. I have tried it out for a week and have noticed that my skin looks better. It also even feels better.

The texture is best described as milky. But, it does not feel overly oily or sticky. It absorbs nicely with no noticeable film. Also, the smell is a bit strong at first, but I have found this goes away within minutes. Use it at night if you are worried.

The product contains Aquabioryl, which it is claimed to hydrate the face and keep a protective film over the skin. It also has Hyaluronic Acid, which is known as a humectant, meaning its a moisture binding supplement that, when applied topically, keeps the skin fresh and hydrated.

So, the product has the right ingredients and works. Why did I take off a star? The price. I get that this is typical for these serums, but its way too high. One ounce is barely anything.

The product has worked for me, but I advise to use it sparingly to make it last.",Great for younger adults... but..!.!!!.. I think that this is the best!! I have a lot of younger people's specs that have to be be seen seen seen of the ageing and younger younger people.,Great ingredients and works
94,This sunscreen did its job when I was away on vacation.  I Am quite happy with it,I'm very happy with this sunscreen. I am happy with the sunscreen I found it at the end of my use and I am glad I I am it. I would have been very pleased with the amount of use of my solar sunscreen and I would expect it to be,Good sunscreen
95,Love all Jane iredale. Cannot go wrong.,Love Jane Iredale all my Jane Jane and I like Jane Jane Jane's Jane Jane and Jane I do like it. I will always buy this Jane Jane... love Jane Jane I can't t t go wrong with Jane Jane all all Jane Jane,Five Stars
96,"This moisturizer does an excellent job of moisturizing without adding any shine to your face,  the texture is very smooth and it is absorbed fairly quickly without a greasy or heavy feel.

Very nice scent.

It is not clear if it has made a difference in crow's feet and smile lines, but certainly does not hurt.","Excellent moisturizer for moisturizing moist. moisturizing and moisturizes thoroughly thoroughly and thoroughly moisturidition and absorb, absorbs easily and absorbs thoroughly and easily easily and protects protects your face and sensitive sensitive and sensitive lipped moisturized skin",Good concealer and moisturizer...
97,"Love this Essie color! Essie polishes are some of my favorite nail polishes. They self level better than any nail polish I have ever tried. They coat very well, and for the majority of the colors Essie nail polishes are very opaque. They dry very quickly as well. This color is a very cheery, vibrant sky blue. Almost completely opaque with only one coat. One of my all time favorites!",Love Essie Essie nail polishh p polisolish!!! This phhh is the perfect nail nailhh polishih for my nail pouts!! I've ve ve seen these polishes on my nail nail pels,"Awesome color, awesome nail polish!"
98,Nice and bold love it,"Love it, love it and it's s t tarky and easy to read and love it!!!.. love love it, very light and easy and beautiful..!! Love it and love the color and love love...",Five Stars
99,"Fire engine red  this color is perfect for attention grabbing.  It does need to be reapplied every 2 hours or so because if you want that attention grabbing color  touchups are necessary, especially after eating.  It does not smear, so you do not need to worry about it going everywhere, but it does transfer to other products like glasses, food and napkins.",This is a great color for redouts and when this this red is this a great red color and the color is perfect for the red color that is it's perfect for red areas that that have all the red red flag that that is is the color that it is all around,Fire engine red
